,Sm,mae,adpEm,maxEm,avgEm,adpFm,maxFm,avgFm,wFm,mBA
inspyrenet_wo_sica,0.39563841338628064,0.49740288774936553,0.7672152402737228,0.7698892422261282,0.3425033822113242,0.6265903577721492,0.6019520581623687,0.26551615506629167,0.19622278302192497,0.5041027363367142
inspyrenet_w_sica,0.8730235948623869,0.037163225880315384,0.883517529526811,0.920193692576817,0.8903437052686565,0.7715891437854543,0.8211114520380969,0.7840172306736541,0.7561990800622753,0.7736397043791862
glospyre_wo_sica,0.8598407268385134,0.023024676207959685,0.9300486418018553,0.948759305904746,0.9258315819178548,0.8783908793594921,0.883321602442316,0.8764510019314591,0.8118220223138121,0.537260540016029
glospyre_w_sica,0.9592235511808876,0.009336760334374227,0.9712255353096976,0.9892788960149335,0.9793471301739776,0.9081096035246589,0.9586874552640269,0.9317880070763536,0.927542844402817,0.7324397228341492
