,Sm,mae,adpEm,maxEm,avgEm,adpFm,maxFm,avgFm,wFm,mBA
inspyrenet_wo_sica,0.3730064392891883,0.5302026977463424,0.6281735517114568,0.4496610101889504,0.441199682116529,0.560480271075964,0.4155103254089226,0.4046698849351321,0.35681772891876606,0.512366958245986
inspyrenet_w_sica,0.8861570017867746,0.04390652486893567,0.9109354839578637,0.9217065271303083,0.9140109443707652,0.8424130322704034,0.8728972924143608,0.8554108461144697,0.8234349109550664,0.749748020593899
glospyre_wo_sica,0.8633900916371783,0.029314928742055435,0.9266647326355566,0.9357904400240613,0.9165862867402241,0.8581274733626829,0.868907468669023,0.8633596186995139,0.8117922626934339,0.531061702513685
glospyre_w_sica,0.9521127622050042,0.015345023378789855,0.9513220310033642,0.9768657316831394,0.9671634663041357,0.9012659785157561,0.9552411170654382,0.9336332703732477,0.9199631489524084,0.73208091314847
