,Sm,mae,adpEm,maxEm,avgEm,adpFm,maxFm,avgFm,wFm,mBA
inspyrenet_wo_sica,0.24194977904857304,0.6444548004300754,0.5334354178850184,0.4460646391420441,0.3137700386133756,0.514454455934368,0.39549589559643505,0.35527155839584545,0.3082879533258021,0.5055950480017625
inspyrenet_w_sica,0.8088058337696375,0.09215547719321646,0.8339524903269376,0.851626116344857,0.8328582952295964,0.8077806951868042,0.8186605659422502,0.8109249943443637,0.7553584658165929,0.7513447443673397
glospyre_wo_sica,0.8344504317672642,0.051827615236299286,0.8771836501372023,0.9171423811230777,0.8828123323930077,0.8498566035538784,0.8631333787951444,0.8578019599202468,0.8014371522053692,0.520618017833704
glospyre_w_sica,0.9252700594796202,0.03153731993176233,0.9174171925531848,0.9523754333892619,0.941320405720599,0.8967851032537977,0.9330186206043596,0.9225092286588074,0.9052422625480858,0.7335666459894243
